"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that after few seconds one picture changes to another","6239","Carousel is playing","","Mon Jun 30 21:57:06 MSK 2025","passed","Mon Jun 30 21:57:12 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"Check that the cart page contain the added product from homepage","27","Open cart with added MacBook product","","Mon Jun 30 21:56:50 MSK 2025","passed","Mon Jun 30 21:56:50 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"","65","Check product gallery is opening","","Mon Jun 30 21:57:13 MSK 2025","passed","Mon Jun 30 21:57:13 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"Check that the cart can be cleared and becomes empty","654","Clear the cart","","Mon Jun 30 21:57:04 MSK 2025","passed","Mon Jun 30 21:57:05 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"This test verifies that after currency changed, its sign will appear in the cart widget button label","222","Change currency","","Mon Jun 30 21:57:05 MSK 2025","passed","Mon Jun 30 21:57:05 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"Check that the product page is available through the eshop search input","18","Open MacBook product page","","Mon Jun 30 21:57:13 MSK 2025","passed","Mon Jun 30 21:57:13 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"Check if we can change {CART_PRODUCT} product quantity and this affects the cart total","619","Change product quantity","","Mon Jun 30 21:56:57 MSK 2025","passed","Mon Jun 30 21:56:57 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"This test verifies that after click on cart button under the product it appears in cart widget","102","Add product to cart","","Mon Jun 30 21:57:12 MSK 2025","passed","Mon Jun 30 21:57:12 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"Check that the eshop is accessible by opening the homepage","5","Open the eshop","","Mon Jun 30 21:57:05 MSK 2025","passed","Mon Jun 30 21:57:05 MSK 2025","","Bitnami Opencart Eshop Tests","",""
"Check if the phone number is actual","13","Phone number actuality","","Mon Jun 30 21:57:05 MSK 2025","passed","Mon Jun 30 21:57:05 MSK 2025","","Bitnami Opencart Eshop Tests","",""
